"locale_code","model_id","rep_order_no","sku","sales_model_code","model_name","small_image_addr","r_small_image_addr","small_image_replace_use","md_add","large_image_addr","r_large_image_addr","large_image_replace_use","md_add2","zoom_image_addr","r_zoom_image_addr","zoom_image_replace_use","md_add3","zoom_mobile_image_addr","r_zoom_mobile_image_addr","zoom_mobile_image_replace_use","md_add4"
UK,MD07578545,9,"27GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578545/gallery/small09.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/small09.jpg,N,N,/uk/images/monitors/md07578545/gallery/medium09.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/medium09.jpg,N,N,/uk/images/monitors/md07578545/gallery/large09.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large09.jpg,N,N,/uk/images/monitors/md07578545/gallery/large-m09.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large-m09.jpg,N,N
UK,MD07578545,10,"27GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578545/gallery/small10.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/small10.jpg,N,N,/uk/images/monitors/md07578545/gallery/medium10.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/medium10.jpg,N,N,/uk/images/monitors/md07578545/gallery/large10.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large10.jpg,N,N,/uk/images/monitors/md07578545/gallery/large-m10.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large-m10.jpg,N,N
UK,MD07578545,11,"27GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578545/gallery/small11.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/small11.jpg,N,N,/uk/images/monitors/md07578545/gallery/medium11.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/medium11.jpg,N,N,/uk/images/monitors/md07578545/gallery/large11.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large11.jpg,N,N,/uk/images/monitors/md07578545/gallery/large-m11.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large-m11.jpg,N,N
UK,MD07578545,12,"27GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578545/gallery/small12.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/small12.jpg,N,N,/uk/images/monitors/md07578545/gallery/medium12.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/medium12.jpg,N,N,/uk/images/monitors/md07578545/gallery/large12.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large12.jpg,N,N,/uk/images/monitors/md07578545/gallery/large-m12.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large-m12.jpg,N,N
UK,MD07578545,13,"27GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578545/gallery/small13.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/small13.jpg,N,N,/uk/images/monitors/md07578545/gallery/medium13.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/medium13.jpg,N,N,/uk/images/monitors/md07578545/gallery/large13.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large13.jpg,N,N,/uk/images/monitors/md07578545/gallery/large-m13.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large-m13.jpg,N,N
UK,MD07578545,14,"27GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578545/gallery/small14.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/small14.jpg,N,N,/uk/images/monitors/md07578545/gallery/medium14.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/medium14.jpg,N,N,/uk/images/monitors/md07578545/gallery/large14.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large14.jpg,N,N,/uk/images/monitors/md07578545/gallery/large-m14.jpg,/uk/images/monitors/27GR93U-B_AEK_EEUK_UK_C/gallery/large-m14.jpg,N,N
UK,MD07578604,1,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small01.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small01.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium01.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium01.jpg,N,N,/uk/images/monitors/md07578604/gallery/large01.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large01.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m01.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m01.jpg,N,N
UK,MD07578604,2,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small02.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small02.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium02.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium02.jpg,N,N,/uk/images/monitors/md07578604/gallery/large02.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large02.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m02.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m02.jpg,N,N
UK,MD07578604,3,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small03.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small03.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium03.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium03.jpg,N,N,/uk/images/monitors/md07578604/gallery/large03.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large03.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m03.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m03.jpg,N,N
UK,MD07578604,4,"32GR93U-B_AEK_EEUK_UK_C",,,/uk/images/monitors/md07578604/gallery/small04.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/small04.jpg,N,N,/uk/images/monitors/md07578604/gallery/medium04.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/medium04.jpg,N,N,/uk/images/monitors/md07578604/gallery/large04.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large04.jpg,N,N,/uk/images/monitors/md07578604/gallery/large-m04.jpg,/uk/images/monitors/32GR93U-B_AEK_EEUK_UK_C/gallery/large-m04.jpg,N,N
