"model_id","original_model_id","sku","model_status_code","locale","page_name","locale_code"
MD00017026,MD00017026,KT520GO.AO2USV.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017059,MD00017059,GCF399BUQA.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017060,MD00017060,GCL217LGNA.CBMQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017061,MD00017061,GE20NU10.AUKE10B.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017062,MD00017062,GGC-H20L.AUAR00B.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017063,MD00017063,GR419BBCA.A.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017064,MD00017064,GRF429BBQA.A.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017065,MD00017065,GR-F459BSCA.ASTQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017066,MD00017066,GSAE40N.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017067,MD00017067,GSA-E50L.ALET102.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017070,MD00017070,GWB227WLQA.A.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017071,MD00017071,GWB227YBQA.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017072,MD00017072,GWB227YSAA.A.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017073,MD00017073,GWL227YBQA.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017074,MD00017074,GWL227YLQA.A.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017075,MD00017075,GWL227YSQA.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017076,MD00017076,GWP227YLQA.A.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017078,MD00017078,HBM-310.AGAUBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017079,MD00017079,HBM-520.AGEUSV.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017080,MD00017080,HBM-800.AGEUBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017081,MD00017081,HFB-500.AGEUBK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017082,MD00017082,HRT403DA.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017083,MD00017083,HS102G.AEK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017084,MD00017084,HT303SU.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017085,MD00017085,HT353SD.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017086,MD00017086,HT462DZ-D0.DGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017088,MD00017088,HT503TH.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017089,MD00017089,HT762TZ-D0.DGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017090,MD00017090,HT903TA.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017091,MD00017091,HT953TV.BGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017092,MD00017092,MS-1987U.CSSQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017093,MD00017093,MS-2387AR.CSLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017094,MD00017094,MS-2387AR.CSLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017096,MD00017096,MSP-300.AGEUDSM.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017104,MD00017104,PC12DAB.DGBRLL.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017134,MD00017134,RC8001B.ABPQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017135,MD00017135,RC8003A.ABWQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017136,MD00017136,RC8003C.ALSQEUK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017137,MD00017137,RH387M-P.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017138,MD00017138,RH397M-P.BGBRLLK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017186,MD00017186,UV30.NJ2.EEUK.UK.C,SUSPENDED,UK,"",
MD00017188,MD00017188,UV42.NL2.EEUK.UK.C,SUSPENDED,UK,"",
MD00017191,MD00017191,VK9820NHB.ABLQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017192,MD00017192,VK9820UHR.BXRQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017193,MD00017193,VKC902HT.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017208,MD00017208,MB24AHL.N20.EEUK.UK.C,SUSPENDED,UK,"",
MD00017213,MD00017213,MC8087ARK.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017214,MD00017214,MC8087ARS.EEUK.UK.C,DISCONTINUED,UK,"",
MD00017215,MD00017215,MC8088HL.CSSQLGU.EEUK.UK.C,DISCONTINUED,UK,"",
